RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
110,A1,426,Medellin,Popcorn,21,1000,1,1140,"22,140",1,"22,139.60",22.14
110,A1,443,Medellin,QA|Popcorn,20,1000,1,883,"20,883",1,"20,883.00",20.883
110,A2,239,Sage N Sour,Shred,,,,274,274,1,274,0.274
110,A2,331B,Neville Haze,Popcorn,11,1000,1,494,"11,494",1,"11,493.50",11.494
110,A2,333,Gas Paradise,Popcorn,,,,710,710,1,710,0.71
110,A2,342,Cherry Noir,Shred,,,,1700,"1,700",1,"1,700.00",1.7
110,A2,390,Blueberry Kush,Popcorn,3,1000,1,289,"3,289",1,"3,288.90",3.289
110,A2,401,Chemdawg,Popcorn,14,1000,1,762,"14,762",1,"14,761.70",14.762
110,B1,291,Banana Daddy,Large Flower,,,,2085,"2,085",1,"2,084.90",2.085
110,B1,318,Super Lemon Haze,Large Flower,6,1000,1,101,"6,101",1,"6,101.00",6.101
110,B1,318,Super Lemon Haze,Shake,,,,869,869,1,869,0.869
110,B1,319,Blue Cheese,Large Flower,,,,2643,"2,643",1,"2,643.10",2.643
110,B1,319,Blue Cheese,Popcorn/Shake,,,,2734,"2,734",1,"2,733.80",2.734
110,B1,395,Chemdawg,Popcorn,32,1000,1,749,"32,749",1,"32,749.10",32.749
110,B1,403,Medellin,Shake,41,1500,1,1248,"62,748",1,"62,748.00",62.748
110,B2,229,Cherry Noir,Popcorn,5,1000,1,1417,"6,417",1,"6,417.00",6.417
110,B2,231,Medellin,Popcorn,,,,399,399,1,399,0.399
110,B2,244,Sage N Sour,Popcorn,,,,140,140,1,140,0.14
110,B2,245,Sage N Sour,Popcorn,8,1000,1,1076,"9,076",1,"9,075.60",9.076
110,B2,280,Gas Paradise,Popcorn,10,1000,1,672,"10,672",1,"10,671.60",10.672
110,B2,387,Chemdawg,Popcorn,10,1000,1,1055,"11,055",1,"11,054.50",11.055
110,C1,208,Mandarin,Popcorn,,,,1363,"1,363",1,"1,363.00",1.363
110,C1,233,Mandarin,Popcorn,,,,3047,"3,047",1,"3,047.00",3.047
110,C1,238,Mandarin,Popcorn,,,,943,943,1,943,0.943
110,C1,364,Medellin,Popcorn,,,,1974,"1,974",1,"1,974.00",1.974
110,C1,364,Medellin,Large Flower,18,1000,1,1055,"19,055",1,"19,055.00",19.055
110,C1,208A,Mandarin,Popcorn,,,,434,434,1,434.2,0.434
