RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
110,A1,426,Medellin,Popcorn,21,1000,1,1140,"22,140",1.00,"22,139.60",22.140,27.53%,Retail
110,A1,443,Medellin,Popcorn,20,1000,1,883,"20,883",1.00,"20,883.30",20.883,29.20%,Retail
110,A1,318,Super Lemon Haze,QA|Large Flower,6,1000,1,101,"6,101",1.00,"6,101.40",6.101,,Wholesale
110,A1,430,Chemdawg,QA|Popcorn,3,1000,1,650,"3,650",1.00,"3,650.10",3.650,,Wholesale
110,A2,450,Medellin,Shake,39,1500,1,1517,"60,017",1.00,"60,016.60",60.017,29.30%,Retail
110,A2,390,Blueberry Kush,Popcorn,3,1000,1,289,"3,289",1.00,"3,288.90",3.289,23.89%,Wholesale
110,A2,245,Chemdawg,Popcorn,8,1000,1,1076,"9,076",1.00,"9,075.60",9.076,32.14%,Wholesale
110,A2,401,Chemdawg,Popcorn,14,1000,1,762,"14,762",1.00,"14,761.70",14.762,29.68%,Wholesale
110,A2,280,Gas Paradise,Popcorn,10,1000,1,672,"10,672",1.00,"10,671.60",10.672,26.20%,Wholesale
110,A2,331B,Neville Haze,Popcorn,,,,11494,"11,494",1.00,"11,493.50",11.494,,Wholesale
110,B1,403,Medellin,Shake,41,1500,1,1248,"62,748",1.00,"62,747.70",62.748,29.78%,Retail
110,B1,395,Chemdawg,Popcorn,32,1000,1,749,"32,749",1.00,"32,749.10",32.749,27.69%,Retail
110,B2,229,Cherry Noir,QA|Popcorn,5,1000,1,1411,"6,411",1.00,"6,411.20",6.411,,Retail
110,B2,387,Chemdawg,Popcorn,10,1000,1,1055,"11,055",1.00,"11,054.50",11.055,26.97%,Wholesale
110,B2,246,Mandarin,Popcorn,5,1000,1,420,"5,420",1.00,"5,420.20",5.420,27.14%,Wholesale
110,C1,364,Medellin,Large Flower,18,1000,1,1055,"19,055",1.00,"19,054.90",19.055,26.44%,Retail
110,C1,431,Cherry Noir,Popcorn,8,1000,1,1230,"9,230",1.00,"9,230.10",9.230,22.72%,Retail
110,C1,364,Medellin,Popcorn,,,,1947,"1,947",1.00,"1,947.30",1.947,26.44%,Retail
110,C2,384,Chemdawg,Popcorn,21,1000,1,833,"21,833",1.00,"21,832.50",21.833,28.75%,Wholesale
110,C2,233,Mandarin,Popcorn,2,1000,1,1047,"3,047",1.00,"3,047.40",3.047,24.07%,Wholesale
110,D1,440,Blue Chem,RND|Large Flower,,,,420,420,1.00,419.50,0.420,,
110,D1,385,Blue Dream,RND|Large Flower,,,,371,371,1.00,370.70,0.371,20.32%,
110,D1,402,Blue Dream,RND|Large Flower,,,,454,454,1.00,454.30,0.454,20.20%,
110,D1,441,Blue Dream,RND|Large Flower,,,,1577,"1,577",1.00,"1,576.50",1.577,,
110,D1,390,Blueberry Kush,RND|Large Flower,,,,472,472,1.00,471.90,0.472,23.89%,
110,D1,401,Chemdawg,RND|Large Flower,,,,2746,"2,746",1.00,"2,745.70",2.746,29.68%,
110,D1,420,Chemdawg,RND|Large Flower,,,,987,987,1.00,986.70,0.987,26.97%,
110,D1,428,Chemdawg,RND|Large Flower,,,,902,902,1.00,902.30,0.902,26.21%,
110,D1,429,Chemdawg,RND|Large Flower,,,,821,821,1.00,821.40,0.821,25.68%,
110,D1,430,Chemdawg,RND|Large Flower,,,,818,818,1.00,817.80,0.818,,
110,D1,432,Chemdawg,RND|Large Flower,,,,758,758,1.00,757.80,0.758,29.68%,
110,D1,439,Chemdawg,RND|Large Flower,,,,450,450,1.00,450.10,0.450,26.20%,
110,D1,442,Chemdawg,RND|Large Flower,,,,947,947,1.00,947.40,0.947,28.42%,
110,D1,446,Chemdawg,RND|Large Flower,,,,1257,"1,257",1.00,"1,257.00",1.257,28.81%,
